"","Scientific.Name","Latitude","Longitude","Country"
"118","Adelges tsugae",36.391625,-80.288086,"US"
"119","Adelges tsugae",36.391625,-80.288086,"US"
"120","Adelges tsugae",36.361178,-80.178264,"US"
"121","Adelges tsugae",36.389142,-80.288606,"US"
"122","Adelges tsugae",42.168669,-73.468046,"US"
"123","Adelges tsugae",40.779603,-73.969208,"US"
"124","Adelges tsugae",41.00752,-74.149701,"US"
"125","Adelges tsugae",39.134175,-79.712192,"US"
"126","Adelges tsugae",41.428723,-72.060764,"US"
"127","Adelges tsugae",44.342117,-68.215813,"US"
"128","Adelges tsugae",47.177067,-122.31697,"US"
"129","Adelges tsugae",47.578187,-122.21668,"US"
"130","Adelges tsugae",42.465314,-71.081253,"US"
"131","Adelges tsugae",42.460555,-71.08248,"US"
"132","Adelges tsugae",42.465677,-71.087079,"US"
"133","Adelges tsugae",42.449475,-71.337172,"US"
"134","Adelges tsugae",42.597663,-72.175012,"US"
"135","Adelges tsugae",42.393692,-72.522597,"US"
"136","Adelges tsugae",42.21698,-73.703592,"US"
"137","Adelges tsugae",42.393222,-72.523108,"US"
"138","Adelges tsugae",35.643718,-83.582987,"US"
"139","Adelges tsugae",42.577535,-71.53658,"US"
"140","Adelges tsugae",35.73394,-83.456889,"US"
"141","Adelges tsugae",42.386377,-72.463888,"US"
"142","Adelges tsugae",42.542515,-72.253872,"US"
"143","Adelges tsugae",42.657943,-77.975413,"US"
"144","Adelges tsugae",35.348927,-82.435842,"US"
"145","Adelges tsugae",41.259518,-73.609135,"US"
"146","Adelges tsugae",41.588723,-74.491957,"US"
"147","Adelges tsugae",42.483617,-76.303245,"US"
"148","Adelges tsugae",42.597877,-71.619317,"US"
"149","Adelges tsugae",43.864504,-69.758689,"US"
"150","Adelges tsugae",36.133656,-81.732147,"US"
"151","Adelges tsugae",41.252435,-74.101939,"US"
"152","Adelges tsugae",35.733917,-81.897839,"US"
"153","Adelges tsugae",42.461925,-71.083275,"US"
"154","Adelges tsugae",42.444705,-71.090661,"US"
"155","Adelges tsugae",42.500763,-72.324875,"US"
